"leaid","enr_tot_d","region_d","nschools_elig","epp_d_imp","nschools","enr_tot_imp_avg_d","sme_pct_frp_avg_d","strat_d","distance_d_y","lottery_d_start","lottery_d_end"
3904586,1093,2,1,11095.2802734375,3,386,0.722797930240631,"6",0.0692759081721306,14137,14137
3904587,1655,2,2,8592.72265625,4,455,0.48879861831665,"6",0.0423330031335354,8051,8052
3904590,1494,2,1,11373.3154296875,2,719,0,"6",0.111366227269173,6835,6835
3904591,1012,2,2,12814.703125,4,288,0.886582493782043,"6",0.0941629558801651,33252,33253
3904592,770,2,1,14124.0791015625,3,352,0.846867740154266,"6",0.0894682854413986,2689,2689
3904594,846,2,1,10330.2216796875,2,427,0.0960187390446663,"6",0.0960138812661171,10690,10690
3904595,754,2,1,11473.7529296875,2,514,0.0544747076928616,"6",0.101405568420887,22263,22263
3904596,395,2,1,11853.2333984375,2,268,0,"6",0.108873285353184,1943,1943
3904597,488,2,1,12617.822265625,2,261,0,"6",0.109889514744282,29006,29006
3904601,1454,2,1,9705.36328125,3,726,0.399449050426483,"6",0.056436114013195,33441,33441
3904603,1273,2,2,10629.9453125,4,297.5,0.583577156066895,"6",0.0504061803221703,19526,19527
3904604,810,2,1,9560.0458984375,3,378,0.47089946269989,"6",0.0429214723408222,5012,5012
3904606,2949,2,1,9897.5625,4,645,0.508527159690857,"6",0.0427432283759117,25245,25245
3904609,3778,2,1,9763.107421875,5,375,0.317333340644836,"6",0.0645781606435776,27307,27307
3904610,9899,2,6,8210.001953125,10,747,0.481635063886642,"6",0.0467560291290283,11137,11142
3904612,1474,2,1,9517.0859375,3,822,0.351581513881683,"6",0.0644693076610565,7309,7309
3904613,665,2,1,13438.271484375,3,361,1,"6",0.110405527055264,34839,34839
3904615,3005,2,3,11699.4609375,5,447.666656494141,0.33985424041748,"6",0.0600115805864334,6252,6254
3904617,617,2,1,10990.5361328125,3,304,0,"6",0.108880952000618,14507,14507
3904619,1910,2,1,9743.576171875,3,829,0.348612785339355,"6",0.0646833032369614,12650,12650
3904621,1192,2,1,11112.1416015625,2,540,0.335185199975967,"6",0.0620120652019978,41874,41874
3904625,3126,2,3,9254.4736328125,7,495,0.445571750402451,"6",0.0480902642011642,14190,14192
3904626,1757,2,1,9487.107421875,2,930,0.365591406822205,"6",0.0635872408747673,9919,9919
3904627,743,2,1,12217.451171875,3,419,0.243436753749847,"6",0.074139192700386,8084,8084
3904628,1854,2,3,10207.6142578125,5,373,0.468770176172256,"6",0.0423742607235909,7921,7923
3904630,2308,2,1,10025.12109375,3,1238,0.461227774620056,"6",0.0523455925285816,40747,40747
3904632,1435,2,1,11670.72265625,4,645,0.46356588602066,"6",0.0442803762853146,37403,37403
3904635,8255,2,8,8630.857421875,10,501.375,0.390960723161697,"6",0.0567273758351803,23841,23848
3904636,995,2,1,9942.9150390625,2,466,0.45064377784729,"6",0.0462232194840908,39758,39758
3904639,1722,2,1,9096.0361328125,3,762,0.191601052880287,"6",0.0872434079647064,17685,17685
3904640,1268,2,2,10098.9423828125,4,309,0.469480574131012,"6",0.0428654365241528,26038,26039
3904644,858,2,1,13412.529296875,2,457,0,"6",0.11077543348074,1572,1572
3904645,1143,2,1,10595.92578125,2,593,0.377740293741226,"6",0.0571026280522347,4789,4789
3904648,1958,2,4,10913.2373046875,6,265.25,0.580580711364746,"6",0.0499507486820221,9195,9198
3904652,1141,2,1,10316.4892578125,3,649,0.400616317987442,"6",0.0547415614128113,37897,37897
3904655,808,2,1,18026.212890625,3,344,0.165697678923607,"6",0.0920789390802383,18656,18656
3904659,804,2,1,16603.845703125,3,449,0.757238328456879,"6",0.0804667919874191,38599,38599
3904660,4535,2,1,15140.1171875,7,462,0.101731598377228,"6",0.0984301418066025,18577,18577
3904662,793,2,1,10091.486328125,4,477,0.576519906520844,"6",0.0505330190062523,30423,30423
3904664,665,2,1,8836.0654296875,2,340,0,"6",0.111186102032661,1511,1511
3904667,675,2,1,12199.6953125,3,383,0.932114899158478,"6",0.0993381664156914,35957,35957
3904668,827,2,1,8863.5810546875,2,473,0.361522197723389,"6",0.0603605695068836,40515,40515
3904671,955,2,1,11737,3,419,0.391408115625381,"6",0.0524059273302555,39611,39611
3904676,21591,2,15,10379.0966796875,25,651.733337402344,0.0563798658549786,"6",0.103868119418621,9212,9226
3904680,1146,2,1,13129.14453125,2,557,0.364452421665192,"6",0.0593622326850891,15952,15952
3904685,830,2,1,11665.513671875,2,456,0,"6",0.108603686094284,232,232
3904690,486,2,1,11933.7119140625,2,270,0.544444441795349,"6",0.0443763397634029,8080,8080
3904696,7726,2,7,11455.7294921875,12,499.142852783203,0.233249470591545,"6",0.0757397413253784,37707,37713
3904697,6040,2,6,11916.333984375,11,469.666656494141,0.572035908699036,"6",0.048416156321764,2694,2699
3904701,16367,2,14,11885.2421875,23,498.285705566406,0.239341199398041,"6",0.075107716023922,34170,34183
3904702,16379,2,12,12607.4130859375,19,632.75,0.159000128507614,"6",0.088826060295105,33454,33465
3904705,1182,2,1,12295.2626953125,3,529,0.306238174438477,"6",0.0663661360740662,18246,18246
3904706,410,2,1,13042.654296875,2,233,0,"6",0.110695779323578,34979,34979
3904707,525,2,1,10936.169921875,2,287,0,"6",0.109118573367596,19515,19515
3904716,1284,2,2,11310.177734375,3,339,0.269167453050613,"6",0.0696822106838226,24319,24320
3904721,355,2,1,17218.90625,2,144,0,"6",0.116755254566669,4275,4275
3904722,1843,2,2,13075.669921875,4,364.5,0.0977514088153839,"6",0.0954671949148178,41099,41100
3904724,7963,2,6,11676.0419921875,11,605.333312988281,0.138295590877533,"6",0.0903566479682922,11952,11957
3904725,624,2,1,10191.6669921875,2,278,0,"6",0.110129997134209,42300,42300
3904734,7378,2,6,10808.98828125,9,640.666687011719,0.129961773753166,"6",0.0927135795354843,33686,33691
3904736,9200,2,5,9838.94921875,13,802.799987792969,0.555651307106018,"6",0.0511290654540062,225,229
3904737,7657,2,5,9832.19921875,9,701.599975585938,0.298188149929047,"6",0.0705005079507828,23391,23395
3904738,3947,2,4,9085.4248046875,6,489,0.421783000230789,"6",0.0516377128660679,26909,26912
3904739,2195,2,1,9795.87890625,2,1165,0.321030050516129,"6",0.071925975382328,19433,19433
3904742,574,2,1,10128.64453125,2,290,0,"6",0.110087729990482,37589,37589
3904743,526,2,1,13156.7568359375,2,293,0,"6",0.110235720872879,10817,10817
3904744,1486,2,1,9750.7138671875,3,660,0.271212130784988,"6",0.0740381851792336,40137,40137
3904745,701,2,1,10230.5595703125,3,357,0.663865566253662,"6",0.0617739036679268,14572,14572
